Naam,Adres,Postcode,Plaats,Opgericht,Klanten,Domeinen,Servers,Medewerkers (fte),NPS (%),Resellers toegestaan,Geschatte omzet (*miljoen euro),Diensten
Versio BV,Francois Haversmidtwei 2,8914 BC,Leeuwarden,15-10-2008,120000,600000,20000,10.0,82,1,2.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Dedicated server, Virtual Private Server, SSL-Certificaat, E-mail hosting."
Antagonist,Neptunusstraat 27 B,7521 WC,Enschede,24-06-2004,90000,100000,Geen opgave,15.0,98,1,3.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Virtual Private Server, SSL-Certificaat."
SoHosted BV,Dopheide 14b,9202PB,Drachten,13-12-2003,27900,55500,650,19.0,98,,3.8,"Domeinnaam, Webhosting, Colocatie, Dedicated server, Virtual Private Server, Managed server."
Skyberate Internet Services BV,Julianaplein 44,7003DW,Doetinchem,01-03-2003,Geen opgave,Geen opgave,Geen opgave,20.0,96,1,4.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Online backup, Managed server, E-mail hosting."
PCextreme,Edisonweg 51D,4382 NV,Vlissingen,01-01-2004,55000,80000,500,20.0,64,1,4.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Online backup, Managed server, E-mail hosting."
iXL hosting B.V.,Galvanistraat 117,6716 AE,Ede,29-05-2008,6000,20000,800,8.0,96,1,1.6,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, VoIP-telefonie, Online backup, Managed server, E-mail hosting."
Web://Xtra,Westervoortsedijk 73 CB,6827AV,Arnhem,05-10-2004,10000,25000,125,6.0,18,1,1.2,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Usenet toegang, Managed server, E-mail hosting."
Correcthosting.nl,binnenpad 22,8355 BR,Giethoorn,01-11-1996,2100,25000,100,6.0,98,1,1.2,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Virtual Private Server, SSL-Certificaat, VoIP-telefonie, Online backup, Managed server."
LeaseWeb,Luttenbergweg 8,1101EC,Amsterdam,02-01-1997,15000,190000,60000,200.0,42,,40.0,
Tilaa BV,Westdam 3J,3441GA,Woerden,16-04-2009,Geen opgave,Geen opgave,Geen opgave,11.0,82,,2.2,"Virtual Private Server, Netwerk connectiviteit, Managed server."
CJ2 Hosting BV,Zernikepark 1,9747 AP,Groningen,12-04-2002,Geen opgave,Geen opgave,Geen opgave,7.0,100,,1.4,
Hosted,Mallemoolen 23,6901GS,Zevenaar,18-08-2006,2500,10000,500,10.0,70,1,2.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, VoIP-telefonie."
Robohost,Postbus 29,1270AA,Huizen,01-02-2013,Geen opgave,Geen opgave,Geen opgave,10.0,100,,2.0,
VPShosting.nl,Mallemoolen 23,6901GS,Zevenaar,18-08-2006,4200,Geen opgave,500,9.0,86,1,1.8,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
Danteck,De Haal 52A,1511AS,Oostzaan,01-04-2014,100,400,10,40.0,100,,8.0,
Cloudhosting.nl,Ringbaan Zuid 10,6905DB,Zevenaar,18-08-2006,2500,10000,250,9.0,100,1,1.8,"Domeinnaam, Domein reselling, Streaming media, Dedicated server, Virtual Private Server, SSL-Certificaat, Netwerk connectiviteit, Online backup, Managed server."
i24 ICT B.V.,Lichtenauerlaan 102-120,3062 ME,Rotterdam - Brainpark,01-01-2003,5000,5000,100,5.0,-100,1,1.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Usenet toegang, Managed server, E-mail hosting."
